uid,title,description,url,image_url,vendor,vendor_identifier
visible-lives,Visible Lives,Oral Histories of the Disability Experience,http://oralhistory.nypl.org/neighborhoods/visible-lives,https://oral-history.s3.amazonaws.com/images/neighborhood/image/3/thumb_visible_lives.jpg,pop_up_archive,4962
greenwich-village,"Your Village, Your Story",Greenwich Village Oral History Project,http://oralhistory.nypl.org/neighborhoods/greenwich-village,https://oral-history.s3.amazonaws.com/images/neighborhood/image/1/thumb_greenwich-village.jpg,pop_up_archive,7195
harlem,A People's History of Harlem,A Harlem Neighborhood Oral History Project,http://oralhistory.nypl.org/neighborhoods/harlem,https://oral-history.s3.amazonaws.com/images/neighborhood/image/2/thumb_harlem.jpg,pop_up_archive,7196
east-bronx,Voices from East of Bronx Park,"An Oral History Project of the Allerton, Van Nest, Pelham Parkway and Morris Park Communities",http://oralhistory.nypl.org/neighborhoods/east-bronx,https://oral-history.s3.amazonaws.com/images/neighborhood/image/4/thumb_east_bronx.jpg,pop_up_archive,7197
washington-heights-inwood,Bridging Our Stories,Washington Heights and Inwood Oral History Project,http://oralhistory.nypl.org/neighborhoods/washington-heights-inwood,https://oral-history.s3.amazonaws.com/images/neighborhood/image/5/thumb_washington_heights_inwood.jpg,pop_up_archive,7198
stapleton,Stapleton Speaks,Our Neighborhood Oral History Project,http://oralhistory.nypl.org/neighborhoods/stapleton,https://oral-history.s3.amazonaws.com/images/neighborhood/image/6/thumb_stapleton.jpg,pop_up_archive,7199
soho,SoHo Stories,A Neighborhood Oral History Project,http://oralhistory.nypl.org/neighborhoods/soho,https://oral-history.s3.amazonaws.com/images/neighborhood/image/9/thumb_EW-Time_Machine_Photos_Page_01.jpg,pop_up_archive,7200
latino-americans,Latino Americans Memory Circles,,http://oralhistory.nypl.org/neighborhoods/latino-americans,https://oral-history.s3.amazonaws.com/images/neighborhood/image/11/thumb_chicago-march-feature.jpg,pop_up_archive,7201
veterans,The New York City Veterans Oral History Project,,http://oralhistory.nypl.org/neighborhoods/veterans,https://oral-history.s3.amazonaws.com/images/neighborhood/image/13/thumb_nypl.digitalcollections.510d47df-f9e8-a3d9-e040-e00a18064a99.001.w.jpg,pop_up_archive,7202
ues,Upper East Side Story,Our Neighborhood Oral History Project,http://oralhistory.nypl.org/neighborhoods/ues,https://oral-history.s3.amazonaws.com/images/neighborhood/image/14/thumb_nypl.digitalcollections.510d47d9-817c-a3d9-e040-e00a18064a99.001.w.jpg,pop_up_archive,7203
